Animal Food,AFIA FOOD COMPLEX,112781415,,,,,,,
Animal Food,AKAKI ANIMALS FEED PLANT PLC,114340112,,,,,,,
Animal Food,BORA ANIMAL AND POULTRY FEED PROCESSING,114334879,,,,,,,
Animal Food,BORA ANIMAL AND POULTRY FEED PROCESSING,114334879,,,,,,,
Animal Food,JORDENIEN FOR DEVELOPMENT ANIMAL RESOURCE PLC,116298111,,,,,,,
Animal Food,KALITI FEED ENTERPRISE,114344112,,,,,,,
Animal Food,KEBRON FOOD COMPLEX,112781418,,,,,,,
Animal Food,LASALLE AGRO-PROCESSING PLC,221180930,,,,,,,
Animal Food,REFARM PLC (Energy Farm),116181688,,,,,,,
Animal Food,YEKABDI AGRO PROCESSING P.L.C,116455985,,,,,,,
Coffee Producers,A.T.L. TRADING,114403424,,,,,,,
Coffee Producers,ADULINA COFFEE EXPORTER PLC,114425938,,,,,,,
Coffee Producers,ALFOZ PVT.LTD.CO,116621745,,,,,,,
Coffee Producers,ALMAZ ZELEKE COFFEE EXPORTER,116297840,,,,,,,
Coffee Producers,AMBASSA ENTERPRISE PLC,114167221,,,,,,,
Coffee Producers,ANIS COFFEE PLC,115513185,,,,,,,
Coffee Producers,ASMA INTERNATIONAL BUSINESS P.L.C.,115549306,,,,,,,
Coffee Producers,B.I.T.T PLC,116182109,,,,,,,
Coffee Producers,BERHAN AGRICULTURAL & COMMERCIAL PLC,115522809,,,,,,,
Coffee Producers,COFFEE ABYSSINIA,115512274,,,,,,,
Coffee Producers,DEGEFA SIME FRIEGHT TRANSPORT & COFFEE DISTRIBUTER,115529730,,,,,,,
Coffee Producers,DINSHO AGRO INDUSTRY PLC,115153470,,,,,,,
Coffee Producers,ETHIO AGRI-CEFT PLC,113690317,,,,,,,
Coffee Producers,ETHIO ROOT INTERNATIONAL PLC,115517019,,,,,,,
Coffee Producers,ETHIOPIAN COFFEE FOREST FORUM,115151694,,,,,,,
Coffee Producers,GEMADRO COFFEE,116637781,,,,,,,
Coffee Producers,GOMA YEBO BUSINESS P.L.C,115158059,,,,,,,
Coffee Producers,HORRA TRADING,114199668,,,,,,,
Coffee Producers,IBRAHIM HUSSIEN COFFEE EXPORTER,114392533,,,,,,,
Coffee Producers,JEBENA BUNA GENERAL TRADING PLC,116607210,,,,,,,
Coffee Producers,KAFA FOREST COFFEE FARMERS COOPER UNION,114162673,,,,,,,
Coffee Producers,LATA AGRI EXPORT,115540398,,,,,,,
Coffee Producers,LH AGRO INDUSTRY Plc,115511311,,,,,,,
Coffee Producers,LIONS INTERNATIONAL TRADING PLC,116639244,,,,,,,
Coffee Producers,MALEDA SUNRISE ENTERPRISE AND COFFE HOUSE,111221957,251 911 20 27 75,,,,,,
Coffee Producers,MULLEGE PLC,114425937,251 911 20 40 05,,,,,,
Coffee Producers,ORGANIC COFFEE,116621186,251 911 20 81 69,,,,,,
Coffee Producers,OROMIA COFFEE FARMERS COOPERATIVE UNION (OCFCU),114673256,251 911 22 67 44,,,,,,
Coffee Producers,S.J.MAGDALINOS PLC,111112419,,,,,,,
Coffee Producers,SAWAKS INTERNATIONAL PLC,114661887,,,,,,,
Coffee Producers,SMS PLC,114422924,251 911 20 70 75,,,,,,
Coffee Producers,TEWODROS YESHIWAS GENERAL IMPORT & EXPORT,116457015,251 911 20 76 24,,,,,,
Coffee Producers,TICO COFFEE SALES PLC,114192808,251 911 23 16 77,,,,,,
