Import,Marathon Motor Engineering,011-868-1456,091-152-2762,,,,,,
Import,MOHAMED  ABDI,091-122-3318,091-122-3318,,,,,,
Import,BERTA PLC,011-155-2355,011-155-2355,,,,,,
Import,Bizuye Trading,011-550-2413,091-120-5883,,,,,,
Import,Abogn General Trading,011-550-5880,091-120-8679,,,,,,
Import,Atco Access Trade,011-155-3588,093-497-3397,,,,,,
Import,isense technologies,011-111-4031,091-150-8228,,,,,,
Import,Addisu,093-520-0605,093-520-0605,,,,,,
Import,addisu fenta anteneh,092-010-8922,092-010-8922,,,,,,
Import,adane tesfaye abebe,091-121-6915,091-121-6907,,,,,,
Import,Afro Germen Chemical,011-155-0200,091-122-0041,,,,,,
Import,Esayas Kidane General Import,011-466-8598,091-121-4099,,,,,,
Import,Et-taz International Trading,011-660-9422,091-177-0281,,,,,,
Import,eliyas beyene tedla,011-157-1179,091-120-8979,,,,,,
Import,Kalid Ahmed Importer,011-156-5843,011-156-5843,,,,,,
Import,kibrom,091-140-6776,091-165-7798,,,,,,
Import,Comet Trading House,011-663-4921,011-663-4925,,,,,,
Import,Zegeye Demissie Importer,093-001-4247,093-001-4247,,,,,,
Import,YETEM TRADING PLC,091-162-7710,091-120-0301,,,,,,
Import,DA Import,093-662-6262,091-276-8541,,,,,,
Import,jojo trading,094-713-9170,094-713-9170,,,,,,
Import,Getu Tefera Sedo,091-658-1645,091-658-1645,,,,,,
Import,Free Style Trading,091-121-4288,091-121-4288,,,,,,
Import,SECA BUSINESS GROUP,011-157-1258,091-120-4320,,,,,,
Import,2Mak Friends Trading Plc,011-416-9803,011-416-9803,,,,,,
Import,3L Car Rent,011-661-5393,091-122-9494,,,,,,
Import,ELMTU IMIS CO.,091-181-1797,091-181-1797,,,,,,
Import,F.B P I DT,091-144-7089,091-144-7089,,,,,,
Import,h/michael mulgeta,091-178-5514,091-105-0028,,,,,,
Import,HAULDAN TRADING,091-162-7504,091-162-7504,,,,,,
Import,HAL - Dag PLC,011-629-7022,011-629-7022,,,,,,
Import,HASSES SEMAM IMPORTER,011-276-4706,011-276-4706,,,,,,
Import,HASSEN MOHAMMED SHERIF IMPORTER,011-275-4793,011-275-4793,,,,,,
Import,Hassan Business Group,011-439-4859,011-439-0572,,,,,,
Import,Hassen business Group,011-439-0572,091-122-0576,,,,,,
Import,hassen abdulkadir adem,011-259-0190,091-166-3348,,,,,,
Import,Hassen Idris & hisfamily PLC,011-157-9983,091-120-8133,,,,,,
Import,HASSEN TSEGAY GENERAL IMPORTER,011-618-3005,011-618-3005,,,,,,
